region,line_desc,total_qty,net_amt,sku_count
Europe,UPCYCLING PROJECT,1361.0,364347.29971694946,121
HMS,CLAUS,1337.0,1718520.2010593414,97
HMS,DIAMOND,1314.0,11485851.317401886,112
Korea,MCM TECH,1310.0,259712549.0,32
Middle-East,MCM TONI,1282.0,2349985.499694824,33
Middle-East,STARK,1278.0,4688384.825805664,104
HMS,DESSAU,1266.0,4603717.967666626,36
CHINA,BRANDENBURG,1265.0,4415446.633285522,19
Europe,OLD MCM COLLECTION,1236.0,125179.23977851868,180
HMS,MODE TRAVIA,1231.0,2357639.3680171967,129
Europe,NEW SKYSTREAM,1212.0,290355.8511810303,96
Korea,MCM VIKTOR,1149.0,733340446.0,13
CHINA,MCM TECH,1099.0,1672219.0747380257,26
Korea,ESSENTIAL,1074.0,229213581.0,181
HMS,OTTOMAR,1053.0,3088014.3444862366,105
North,OLD MCM COLLECTION,1024.0,130971.46966981888,116
CHINA,OLD AREN,1021.0,647364.9494857788,168
Korea,OLD MCM COLLECTION,1013.0,80457729.0,145
CHINA,NEO TERRAIN DERBY,1013.0,1241681.6092529297,90
HMS,TERRAIN DERBY,977.0,1232933.1474609375,196
Japan,ELLA,966.0,85278932.0,43
Europe,SKYSTREAM,955.0,141985.92064285278,68
Japan,Japan Phenomenon,892.0,23882238.0,253
HMS,P+M,891.0,850458.5821456909,190
Korea,Japan Phenomenon,890.0,157217177.0,237
CHINA,MILANO,882.0,1734079.999015808,51
HMS,TRAVIA,863.0,19364083.990074158,78
North,SKYSTREAM,860.0,330350.00025177,71
Europe,M-ART,846.0,178374.8877105713,25
Europe,BRANDENBURG,837.0,535651.1782875061,22
Japan,MODE TRAVIA,794.0,31506675.0,97
Korea,SKYWARD,785.0,179305284.0,120
CHINA,SKYSTREAM,760.0,869909.446685791,62
Europe,OLD AREN,754.0,95025.22021007538,64
North,M-ART,754.0,226576.87991333008,26
HMS,MCM VIKTOR,736.0,1476238.0887870789,11
HMS,UPCYCLING PROJECT,710.0,2013605.5194149017,112
Middle-East,MUNCHEN,694.0,1912059.814453125,62
Middle-East,ELLA,648.0,1497973.4944152832,43
Korea,P+M,629.0,143949392.0,229
Japan,TRAVIA,617.0,26157600.0,68
Japan,FURSTEN,585.0,40280975.0,28
Middle-East,OTTOMAR,573.0,1957803.498840332,85
Japan,ESSENTIAL,569.0,14097372.0,142
Japan,MCM KLASSIK,535.0,41358490.0,46
CHINA,OLD TRACY,533.0,550961.7097663879,55
Middle-East,DIAMOND,522.0,1247592.3164291382,86
Japan,OTTOMAR,521.0,43169984.0,95
CHINA,TRISHA,497.0,2114912.4888305664,2
HMS,SKYWARD,493.0,579319.5909538269,125
Korea,SKYSTREAM,484.0,78056181.0,46
Korea,UPCYCLING PROJECT,469.0,274799163.0,93
Middle-East,FURSTEN,461.0,989982.9425506592,26
Korea,OLD JAPAN PHENOMENON,456.0,44710733.0,96
HMS,MCM TECH,456.0,740140.0153427124,25
Europe,MILANO,454.0,110505.3600730896,37
North,OLD AREN,453.0,53830.18056678772,15
CHINA,OLD JAPAN PHENOMENON,448.0,269683.56871795654,72
North,Japan Phenomenon,442.0,90642.53999328613,44
HMS,NEO TERRAIN DERBY,410.0,772468.3092575073,101
Korea,NEO TERRAIN DERBY,407.0,129078241.0,76
Japan,CLAUS,391.0,12107750.0,83
Japan,UPCYCLING PROJECT,388.0,16287800.0,88
Japan,DIAMOND,382.0,23692695.0,76
Middle-East,ESSENTIAL,359.0,291739.2699584961,139
CHINA,Japan Phenomenon,354.0,466576.2816333771,127
Middle-East,MCM KLASSIK,349.0,928190.8959655762,44
Korea,M-ART,344.0,124616249.0,14
Japan,DESSAU,333.0,33501360.0,28
North,SEMBLAS,325.0,41455.60987854004,11
Japan,OLD JAPAN PHENOMENON,324.0,6172440.0,112
Middle-East,MODE TRAVIA,321.0,475035.1102542877,93
CHINA,NEW SKYSTREAM,295.0,430936.05645751953,50
Korea,BRANDENBURG,292.0,230502036.0,21
Middle-East,TERRAIN DERBY,291.0,265987.94901275635,116
Japan,TERRAIN DERBY,277.0,7161448.0,128
HMS,BRANDENBURG,275.0,1031482.2465362549,18
HMS,Japan Phenomenon,272.0,196582.73973464966,85
North,DIAMANTE SOLE,256.0,91471.21000671387,17
Korea,NEW SKYSTREAM,239.0,80426324.0,48
North,MCM MONOGRAM,237.0,57576.0,8
Japan,MCM TECH,235.0,6000195.0,27
Korea,BERLIN,229.0,138812499.0,20
Europe,PINA,226.0,92526.79962158203,9
Europe,MILLA,223.0,186870.1895751953,4
Europe,KLARA,219.0,61987.20957946777,4
North,PINA,219.0,165556.5398864746,5
CHINA,PINA,214.0,772675.693649292,6
CHINA,DUKE,207.0,458665.64346313477,6
HMS,NEW SKYSTREAM,203.0,438345.75971984863,50
Middle-East,NEO TERRAIN DERBY,202.0,224492.01124191284,82
Korea,OLD AREN,201.0,30081734.0,20
Middle-East,CLAUS,195.0,212836.42826843262,50
Middle-East,DESSAU,194.0,482784.4211578369,27
Europe,M Candy,191.0,38427.85984802246,8
Europe,BERLIN,178.0,83268.45967102051,14
Europe,SEMBLAS,176.0,13298.469970703125,13
Japan,SKYWARD,171.0,5739670.0,80
Europe,OLD JAPAN PHENOMENON,165.0,18401.859914779663,62
Japan,BRANDENBURG,158.0,16400180.0,16
CHINA,BERLIN,158.0,580215.5695495605,21
North,BERLIN,158.0,103597.810546875,13
Europe,DIAMANTE SOLE,157.0,41358.24987792969,24
Europe,Japan Phenomenon,154.0,19637.670066833496,72
HMS,M-ART,154.0,235962.0097503662,16
Middle-East,TRAVIA,139.0,277036.979927063,46
CHINA,SEMBLAS,137.0,80323.61996459961,15
CHINA,OLD SKYWARD,133.0,38548.61994934082,6
CHINA,M Candy,123.0,226165.2274017334,8
North,FEDERLITE,122.0,44576.67000198364,16
North,TRISHA,122.0,71730.40057373047,2
North,MILLA,119.0,117603.11999511719,4
HMS,SKYSTREAM,114.0,142622.87036514282,38
Japan,MCM VIKTOR,112.0,7980170.0,9
Japan,NEO TERRAIN DERBY,112.0,3954860.0,32
CHINA,KLARA,108.0,180955.4423942566,2
Europe,OLD TRACY,108.0,13188.679954528809,25
North,RESNICK,107.0,14173.989959716797,16
CHINA,OLD MILLA,106.0,177972.53993225098,19
Japan,SPECIAL COLLECTION,100.0,863800.0,8
CHINA,OLD X-LINE,100.0,3154.879945755005,7
CHINA,OLD STARK,98.0,140349.58169555664,21
HMS,MILANO,95.0,157146.81010437012,12
HMS,MIX LINE,94.0,68990.43029785156,1
North,DUKE,92.0,72823.0,1
North,MCM TRAVEL COLLECTION,91.0,15553.699890136719,4
CHINA,M-ART,89.0,164356.36518859863,10
CHINA,OLD BERLIN,87.0,193458.07231140137,6
Korea,TRISHA,83.0,52506368.0,1
Korea,SEMBLAS,79.0,11287963.0,12
HMS,KLARA,76.0,12980452.190872192,4
Korea,KLARA,76.0,25981277.0,3
HMS,MCM MONOGRAM,74.0,57571.03009033203,8
Middle-East,MCM TECH,73.0,73306.37971496582,19
HMS,SEMBLAS,72.0,56610.47100830078,13
Japan,MIX LINE,72.0,2267500.0,7
Japan,BERLIN,71.0,7074540.0,13
Korea,OLD TRACY,68.0,13273360.0,15
Europe,OLD ITALIA,68.0,2834.2000160217285,8
Japan,OLD MCM COLLECTION,66.0,765212.0,40
CHINA,MILLA,65.0,214286.06121826172,12
Korea,MILANO,63.0,27647094.0,11
Korea,VISETOS,62.0,3702912.0,21
HMS,BERLIN,60.0,196529.58137512207,13
CHINA,OLD SOFT BERLIN,59.0,71053.10876464844,1
HMS,OLD MCM COLLECTION,56.0,35386.48989486694,28
Middle-East,MCM VIKTOR,56.0,140088.12817382812,5
CHINA,OLD KOREA,54.0,23611.419974803925,24
Japan,NEW SKYSTREAM,50.0,2413100.0,18
Europe,OLD STARK,50.0,14486.65998840332,19
Korea,OLD MILLA,50.0,10567452.0,11
Japan,SKYSTREAM,49.0,1187000.0,22
Middle-East,SKYWARD,49.0,47150.690269470215,25
Middle-East,M-ART,48.0,55170.35893249512,11
HMS,OLD AREN,48.0,45288.94916152954,3
Middle-East,P+M,47.0,79336.98970031738,25
Middle-East,NEW SKYSTREAM,47.0,78594.82733154297,28
CHINA,OLD MILANO,45.0,105347.69024658203,3
Japan,MILANO,44.0,2397050.0,13
Japan,OLD AREN,44.0,558720.0,9
Japan,M-ART,43.0,1852250.0,10
Europe,MCM MONOGRAM,42.0,8114.189910888672,4
Europe,OLD BERLIN,42.0,12852.36999511719,3
Europe,OLD TERRAIN DERBY,41.0,3214.8399982452393,16
HMS,M Candy,41.0,47252.1999206543,3
HMS,SPECIAL COLLECTION,40.0,2971.2000274658203,2
Europe,FEDERLITE,39.0,14015.219787597656,15
Middle-East,BRANDENBURG,39.0,177083.5899658203,14
CHINA,OLD TERRAIN DERBY,38.0,19033.649841308594,20
CHINA,OLD ITALIA,37.0,4884.060012817383,18
Japan,KLARA,37.0,1234750.0,2
Korea,PINA,36.0,34275182.0,4
HMS,DIAMANTE SOLE,34.0,59959.62008666992,13
Japan,OLD MIX LINE,34.0,1980000.0,6
Europe,SPECIAL COLLECTION,33.0,653.5800180435181,2
Middle-East,UPCYCLING PROJECT,33.0,70354.54030609131,12
