week,observed,trend,seasonal,residual,residual_z,residual_anomaly
2022-01-03,5874.0,12655.152404179571,3645.4663049018777,-10426.61870908145,-3.7105133418110032,True
2022-01-10,12252.0,12661.150783708736,-351.0893593056382,-58.06142440309668,-0.1864253918476709,False
2022-01-17,14454.0,12667.177693315765,1810.3581245996652,-23.535817915430016,-0.17469075312718507,False
2022-01-24,12346.0,12673.233311976162,-707.0159649264608,379.78265295029814,-0.03760998825781864,False
2022-01-31,11183.0,12679.317691271006,-2100.746931325719,604.4292400547129,0.038743385589564694,False
2022-02-07,11034.0,12685.430081739101,-1782.6963403444258,131.26625860532477,-0.12207628444867048,False
2022-02-14,14398.0,12691.568665958688,1833.4039786794162,-126.97264463810461,-0.20984708824957243,False
2022-02-21,11771.0,12697.731189709997,-889.3282644131207,-37.402925296875765,-0.1794039359434689,False
2022-02-28,13607.0,12703.915446982739,843.6156134981686,59.4689395190926,-0.14647891444670808,False
2022-03-07,11812.0,12710.119211872412,-1165.614988279968,267.49577640755524,-0.07577429768860518,False
2022-03-14,12754.0,12716.34000568028,357.29535403318357,-319.6353597134639,-0.2753297136489223,False
2022-03-21,11654.0,12722.57497773702,-1743.187890429727,674.6129126927062,0.06259756589999313,False
2022-03-28,11039.0,12728.821298872448,-2273.1642191186725,583.3429202462248,0.031576521048441504,False
2022-04-04,10414.0,12735.075200433448,-1759.10944232321,-561.9657581102383,-0.3576934999938012,False
2022-04-11,10874.0,12741.332076886352,-1935.9209201793408,68.5888432929878,-0.14337922158568664,False
2022-04-18,9579.0,12747.587630341137,-3050.072665229151,-118.51496511198638,-0.20697247361570348,False
2022-04-25,12233.0,12753.83754656672,-434.97387588623616,-85.86367068048276,-0.19587488018032745,False
2022-05-02,11747.0,12760.077534021148,-565.8584971026869,-447.2190369184609,-0.318693133178324,False
2022-05-09,12604.0,12766.303447672408,131.26094912035956,-293.5643967927681,-0.2664686576938637,False
2022-05-16,11052.0,12772.511653369987,-1540.1678183526396,-180.34383501734737,-0.22798700528206273,False
2022-05-23,18382.0,12778.698966035316,5412.444921706236,190.85611225844877,-0.10182275452803531,False
2022-05-30,14897.0,12784.862406422186,2472.899833325072,-360.7622397472569,-0.28930800767453835,False
2022-06-06,15471.0,12790.998912707199,2857.7556754452235,-177.754588152422,-0.22710696638893269,False
2022-06-13,12645.0,12797.105813071972,152.61932031788697,-304.72513338985846,-0.2702619932828604,False
2022-06-20,17058.0,12803.18085872642,4510.748601683769,-255.92946041018877,-0.25367721312138974,False
2022-06-27,12813.0,12809.222347667694,338.2866772731389,-334.5090249408331,-0.2803850075495516,False
2022-07-04,29765.0,12815.229192162571,-810.8002308551902,17760.571038692622,5.869810420323862,True
2022-07-11,11587.0,12821.200973967385,-1225.873344591627,-8.32762937575717,-0.16952176071079278,False
2022-07-18,14319.0,12827.1376626686,1146.6598157599806,345.2025215714202,-0.04936315901770155,False
2022-07-25,12015.0,12833.039473696459,-830.4284043965267,12.388930700068158,-0.16248057091712784,False
2022-08-01,14685.0,12838.906568174307,1821.7963710159574,24.29706080973665,-0.15843320958479568,False
2022-08-08,11952.0,12844.739338068406,-348.3790309299119,-544.360307138495,-0.35170972077363216,False
2022-08-15,10135.0,12850.538703527003,-2339.0291363401693,-376.509567186833,-0.2946602438005751,False
2022-08-22,9648.0,12856.306881732093,-2884.231714144424,-324.07516758766906,-0.2768387252693489,False
2022-08-29,11227.0,12862.047601091901,-1409.3849951990849,-225.66260589281592,-0.24339004834432057,False
2022-09-05,8482.0,12867.766228691762,-4435.593965627895,49.82773693613308,-0.14975578748824203,False
2022-09-12,9922.0,12873.46980822483,-3298.329776413021,346.8599681881915,-0.04879982243291917,False
2022-09-19,12445.0,12879.166753550808,-326.63371789615377,-107.53303565465467,-0.2032399113888333,False
2022-09-26,11113.0,12884.86663000499,-2228.696187508387,456.82955750339715,-0.01142311765830165,False
2022-10-03,9290.0,12890.580740970354,-3582.4437266196533,-18.137014350701065,-0.17285579595191877,False
2022-10-10,9616.0,12896.321793221583,-3685.749222205939,405.4274289843561,-0.028893785634848262,False
2022-10-17,10066.0,12902.104534722634,-2855.091392563714,18.986857841080564,-0.16023805299549404,False
2022-10-24,8855.0,12907.945661700305,-4071.925432784987,18.979771084681488,-0.1602404616577741,False
2022-10-31,8105.0,12913.864786880082,-4560.503210821509,-248.3615760585726,-0.2511050240194732,False
2022-11-07,23184.0,12919.885443243422,6197.461272462439,4066.6532842941397,1.2154916736476538,False
2022-11-14,18705.0,12926.036446569786,5887.090069671338,-108.12651624112368,-0.20344162486987885,False
2022-11-21,11563.0,12932.352336873482,-1721.447580452582,352.0952435791005,-0.047020445571385606,False
2022-11-28,19160.0,12938.873398581589,5786.116192839988,435.01040857842236,-0.01883905776393076,False
2022-12-05,14211.0,12945.64263788756,914.1455074293532,351.21185468308613,-0.04732069372338028,False
2022-12-12,20428.0,12952.699592230607,7010.442367148441,464.85804062095303,-0.008694379239421379,False
2022-12-19,21912.0,12960.068369937444,8802.515614138469,149.41601592408733,-0.115907505195618,False
2022-12-26,21246.0,12964.32409881036,7832.116669818081,449.55923137155696,-0.013894172021031765,False
2023-01-02,20645.0,12968.068123677842,4559.515080045683,3117.416796276475,0.8928630979217167,False
2023-01-09,12635.0,12971.192304702085,-832.8596122216153,496.66730751953037,0.0021170240345994326,False
2023-01-16,13204.0,12973.589096324391,56.47583404332056,173.93506963228901,-0.10757391554132138,False
2023-01-23,11274.0,12975.154801200544,-1447.8532743332871,-253.30152686725705,-0.25278402531544153,False
2023-01-30,9002.0,12975.811482783478,-2754.3493936948435,-1219.4620890886345,-0.5811647924338803,False
2023-02-06,10801.0,12975.507584825758,-1715.6893859242373,-458.8181989015211,-0.3226354817473557,False
2023-02-13,13055.0,12974.224068145018,-375.48622980549465,456.2621616604756,-0.011615965399602537,False
2023-02-20,11764.0,12971.951581500074,-1339.0165040174934,131.0649225174202,-0.12214471499901577,False
2023-02-27,9763.0,12968.711592609483,-491.8081761408251,-2713.903416468658,-1.0890987825878946,False
2023-03-06,8817.0,12964.553462285894,-1591.6041262437004,-2555.949336042193,-1.035413003921175,False
2023-03-13,12657.0,12959.520694481615,-966.2958486399269,663.775154158313,0.05891400480204695,False
2023-03-20,8718.0,12953.670418652373,-2915.3702875276817,-1320.3001311246917,-0.6154378469274197,False
2023-03-27,9083.0,12947.07211513834,-2669.5057001359214,-1194.5664150024186,-0.5727031962209632,False
2023-04-03,11546.0,12939.788185404226,-1919.840411644212,526.0522262399863,0.012104434542176452,False
2023-04-10,9890.0,12931.892995858003,-2726.8559813999927,-315.03701445801016,-0.27376681799626845,False
2023-04-17,13777.0,12923.470154697314,-2262.5933925113695,3116.1232378140558,0.8924234404395016,False
2023-04-24,12496.0,12914.617075765711,-1016.8144584627607,598.1973826970498,0.03662528826733804,False
2023-05-01,12949.0,12905.450794713533,-1094.7372881938363,1138.286493480302,0.22019195766600297,False
2023-05-08,13055.0,12896.096115873235,-850.775467594458,1009.6793517212227,0.17648068076327264,False
2023-05-15,17066.0,12886.661287044066,-1393.7998767373108,5573.138589693244,1.7275191974188653,False
2023-05-22,18466.0,12877.21383954277,5881.322883022078,-292.5367225648479,-0.2661193695273747,False
2023-05-29,15591.0,12867.790429139277,2102.47563933958,620.733931521143,0.044285059821294485,False
2023-06-05,28547.0,12858.407693663465,2729.8611409734017,12958.731165363135,4.2377505714324695,True
2023-06-12,15443.0,12849.081651889202,219.794861647706,2374.1234864630915,0.640230940478516,False
2023-06-19,19457.0,12839.810960704915,3851.442120193667,2765.746919101417,0.7733367701510203,False
2023-06-26,13946.0,12830.578373322804,836.0685298637337,279.3530968134619,-0.07174420566962607,False
2023-07-03,11714.0,12821.388262609165,-910.1250443529613,-197.2632182562047,-0.23373760229915955,False
2023-07-10,18647.0,12812.265697151564,-1973.9750717925067,7808.709374640941,2.4873498901774522,False
2023-07-17,11783.0,12803.261067148307,-519.2252807447795,-501.0357864035268,-0.33698448781517104,False
2023-07-24,13622.0,12794.441274219449,-1788.656988119099,2616.21571389965,0.7225137767560054,False
2023-07-31,17740.0,12785.877209616847,370.45519621555,4583.667594167604,1.3912156291950724,False
2023-08-07,12901.0,12777.622798863438,-893.640546978032,1017.0177481145947,0.1789748709955195,False
2023-08-14,11118.0,12769.707971700334,-2440.347681560092,788.6397098597572,0.1013532433618053,False
2023-08-21,11386.0,12762.136719102533,-2207.5573725826016,831.4206534800687,0.11589372414047494,False
2023-08-28,13402.0,12754.887849784918,187.57041524745688,459.5417349676245,-0.010501296843946933,False
2023-09-04,9711.0,12747.937948981582,-3212.2255328089477,175.2875838273667,-0.10711422005561762,False
2023-09-11,8612.0,12741.254959342346,-3254.8228055834993,-874.4321537588476,-0.46389526263448455,False
2023-09-18,8495.0,12734.79518374572,-811.3863661785281,-3428.4088175671914,-1.331946442591267,False
2023-09-25,9799.0,12728.517022068127,-2391.5931853422726,-537.9238367258531,-0.3495220791183167,False
2023-10-02,9518.0,12722.375888096563,-3293.088872197501,88.71298410093732,-0.13653938454978023,False
2023-10-09,8630.0,12716.357191878991,-3086.443390321889,-999.9138015571025,-0.5065442398071165,False
2023-10-16,10269.0,12710.461682099713,1901.9421016509168,-4343.403783750629,-1.6429369349106804,False
2023-10-23,8198.0,12704.677156035048,-1019.4759771877602,-3487.2011788472882,-1.3519289190581951,False
2023-10-30,12984.0,12698.979567173908,-219.5213047850214,504.5417376111127,0.00479340257374108,False
2023-11-06,35756.0,12693.349594116522,4716.141334008103,18346.509071875378,6.068960321845443,True
2023-11-13,22489.0,12687.752749082752,6907.635611275628,2893.6116396416182,0.8167957113044838,False
2023-11-20,12025.0,12682.150233380911,-63.235793806835545,-593.914439574075,-0.3685522877954849,False
2023-11-27,16480.0,12676.509966379559,4559.171789432976,-755.6817558125349,-0.42353411739836283,False
2023-12-04,14137.0,12670.817416720847,2034.831413387125,-568.6488301079717,-0.3599649571357463,False
2023-12-11,17653.0,12665.087150436178,5575.98285726542,-588.0700077015972,-0.36656586949535974,False
2023-12-18,22056.0,12659.347957603455,9592.274194931973,-195.62215253542854,-0.23317983328917094,False
2023-12-25,21229.0,12653.645814349908,9471.15350571243,-895.7993200623368,-0.4711575818971905,False
2024-01-01,18146.0,12648.03355794326,5469.672465007278,28.29397704946132,-0.15707472894272595,False
2024-01-08,9646.0,12642.573776235697,-1235.367108686572,-1761.2066675491242,-0.7652941258110264,False
2024-01-15,8436.0,12637.341565562683,-1643.3455181268077,-2557.996047435876,-1.0361086446705579,False
2024-01-22,9806.0,12632.411545834546,-2155.815345096443,-670.596200738104,-0.39461505266051056,False
