sku_cd,non_promo_avg_daily_qty,promo_avg_daily_qty,promo_lift,demand_class,abc_class,total_qty
MYZAAVI02QH001,1.0,13.407407407407407,12.407407407407407,Lumpy,A,1724.0
MYZAAVI02CO001,5.51880276285495,26.983471074380166,3.8893704366454402,Erratic,A,9934.0
MWBESEA09CO001,1.3174603174603174,5.875802997858672,3.4599468537963416,Lumpy,A,2686.0
MYZAAVI02BK001,2.660395108184384,11.401639344262295,3.2856939968001484,Lumpy,A,4009.0
MYZ9SME05CO001,14.668032786885245,58.10344827586207,2.9612297790752575,Lumpy,A,8401.0
MWBESEA01CO001,11.755196304849884,45.74766355140187,2.89169711547289,Erratic,A,14338.0
MWPDSLR04CO001,33.32517140058766,125.02714932126698,2.751733121440517,Erratic,A,58583.0
MWPAATN04BK001,9.536132140399173,34.71022727272727,2.6398643351091753,Erratic,A,18967.0
MWPAATN04CO001,167.10691375623662,603.4156378600823,2.610955551128788,Erratic,A,362646.0
MXBAAVI03WT001,2.194146341463415,7.591304347826087,2.459798557813134,Lumpy,A,2966.0
MWPESAC03CO001,2.310344827586207,7.98581560283688,2.4565470519741717,Lumpy,A,2523.0
MWPESAC02I9001,3.8984771573604062,12.886075949367088,2.305412710970464,Erratic,A,6058.0
MMZAAFI01CO001,3.943758573388203,12.454545454545455,2.1580395256916995,Erratic,A,5595.0
MYLAAPA02QH001,3.9,12.006493506493506,2.0785880785880786,Lumpy,A,1795.0
MWHESTA02CO001,2.683673469387755,7.867088607594937,1.9314626750733987,Erratic,A,2930.0
MWDBAXL01CO001,6.700680272108843,19.54368932038835,1.9166724163422209,Lumpy,A,3785.0
MWPAAVI02QH001,6.244274809160306,17.649350649350648,1.826485250690629,Lumpy,A,2072.0
MWHBSKM02CO001,2.2628398791540785,6.282296650717703,1.7762886400367957,Lumpy,A,1961.0
MXBAAVI08CO001,2.6345514950166113,7.133333333333334,1.70760823875578,Lumpy,A,3522.0
MXBAAVI04CO001,2.237864077669903,5.942028985507246,1.6552233644566,Lumpy,A,2580.0
MWPDSLR02BK001,10.256233877901977,25.5158371040724,1.487836900740795,Erratic,A,16750.0
MWPCSVI01CO001,35.16402877697842,86.73828125,1.4666764380191495,Erratic,A,67529.0
MWPAATN03CO001,4.2786377708978325,10.326530612244898,1.4135089636433449,Erratic,A,8137.0
MWRDSXT01CO001,19.17408906882591,46.23076923076923,1.4111064189189193,Lumpy,A,10730.0
MESCAMM11CO039,2.4310344827586206,5.792207792207792,1.3826102975039145,Lumpy,A,2571.0
MXKCSVI01CO001,2.263205013428827,5.30379746835443,1.3434896250600867,Lumpy,A,2803.0
MWPESAC03I9001,2.2325581395348837,5.157718120805369,1.310227908277405,Lumpy,A,2464.0
MXKCSVI01BK001,1.9467120181405895,4.417910447761194,1.2694216743886857,Lumpy,A,1916.0
MWBESEA09P6001,2.3567251461988303,5.277602523659306,1.239379730882733,Lumpy,A,2357.0
MMRAAKC02CO001,5.288526816021724,11.76,1.2236816431322208,Erratic,A,7680.0
MWPCSVI02XC001,3.5437997724687142,7.833333333333333,1.2104333868378814,Lumpy,A,3451.0
MESCAMM11CO040,2.2935222672064777,5.054347826086956,1.2037491845427684,Lumpy,A,2599.0
MMRAAKC02BK001,3.154067674586033,6.909090909090909,1.1905335021062022,Erratic,A,4238.0
MYZBSKM03BK001,2.284688995215311,4.5268292682926825,0.9813765802579488,Lumpy,A,2704.0
MWRESAC02CO001,3.2289156626506026,6.376623376623376,0.9748497770885829,Lumpy,A,1953.0
MWPDSTA01BK001,2.254742547425474,4.4480519480519485,0.972753808691309,Lumpy,A,2102.0
MWPCSVI01XC001,7.843796711509716,15.227848101265822,0.9413873996659046,Erratic,A,11115.0
MWHESTA01CO001,5.823050058207218,11.25,0.9319772091163534,Erratic,A,5909.0
MMTCSKC02CO001,5.038793103448276,9.683698296836983,0.9218289177640548,Lumpy,A,6015.0
MWPCSVI01BK001,13.535593220338983,26.01212121212121,0.9217570141687346,Erratic,A,23052.0
MMZAAFI01BK001,4.0,7.580645161290323,0.8951612903225807,Erratic,A,5892.0
MWPCSVI01I8001,8.774572649572649,16.23,0.8496627298185804,Erratic,A,9348.0
MMZAAFI04BK001,2.527403414195867,4.635135135135135,0.8339514416656257,Lumpy,A,3003.0
MWPDSTA01CO001,7.8559322033898304,14.34308510638298,0.8257648786981571,Lumpy,A,8704.0
MWRESAK02CO001,2.641263940520446,4.818181818181818,0.8241955089245732,Lumpy,A,2005.0
MWRAASE03BK001,1.7647058823529411,3.2148760330578514,0.8217630853994491,Lumpy,A,1681.0
MXBAAVI01BK001,2.125645438898451,3.8260869565217392,0.79996479493047,Lumpy,A,2431.0
MWBAASE02CO001,3.958563535911602,6.928571428571429,0.7502741501345829,Lumpy,A,3276.0
MWPAATN04QH001,44.99643493761141,77.8125,0.7293036683436991,Lumpy,A,25165.0
MYZCSSX01U4001,2.4752851711026618,4.273291925465839,0.7263836811021742,Lumpy,A,1926.0
MWRAAME01CO001,10.657789613848202,18.152263374485596,0.7031921282157276,Erratic,A,11835.0
MMZAAFI04CO001,3.7145214521452146,6.130681818181818,0.6504634303945722,Erratic,A,5303.0
MXZEATT04CO001,5.901486988847584,9.709677419354838,0.6452933705867412,Lumpy,A,3598.0
MWDBSXL02CO001,8.367924528301886,13.74074074074074,0.6420727379013738,Lumpy,A,3588.0
MWBAASE03CO001,34.901455026455025,56.9375,0.6313789770896894,Erratic,A,56584.0
MMZCAFI01CO001,1.9664,3.1530612244897958,0.6034688895900102,Lumpy,A,1756.0
MYZAAVI02XC001,4.153846153846154,6.584615384615384,0.585185185185185,Lumpy,A,2922.0
MXAAAVI03CO001,2.5184893784421716,3.8181818181818183,0.5160603220584477,Smooth,A,3091.0
MXZAAVI08CO001,3.428833792470156,5.125,0.49467728976968406,Lumpy,A,3589.0
MMRAAKC03CO001,2.6437908496732025,3.9215686274509802,0.48331273176761425,Lumpy,A,3267.0
MPCCSMM02CO001,3.129793510324484,4.548872180451128,0.45340967876807947,Lumpy,A,1584.0
MXZAAVI03CO001,1.969735182849937,2.8448275862068964,0.4442690626517727,Lumpy,A,1802.0
MXBAAVI08XC001,2.700653594771242,3.8732394366197185,0.43418594821591694,Lumpy,A,2229.0
MMBDATA01CO001,2.3444444444444446,3.3015384615384615,0.4082391542107182,Lumpy,A,1622.0
MPCCSMM01CO001,4.385159010600707,6.141176470588236,0.4004455609802342,Lumpy,A,2861.0
MMKAAVE08CO001,2.1583769633507854,3.0074074074074075,0.3933652269613459,Lumpy,A,1953.0
MPFDSMM01RE001,9.599009900990099,13.151162790697674,0.37005409165597225,Lumpy,A,2924.0
MYLAAVI03CO001,2.6313594662218516,3.6,0.36811410459587957,Lumpy,A,3039.0
MPFDAMM10T1001,3.214678899082569,4.338461538461538,0.3495785036880925,Lumpy,A,1934.0
MWTEATA01CO001,2.736196319018405,3.669683257918552,0.34116226690745277,Lumpy,A,1626.0
MXBAAVI03XC001,3.0077319587628866,4.0,0.32990574121679517,Lumpy,A,2445.0
MWPAATN03BK001,2.205091937765205,2.9008264462809916,0.3155126988586665,Lumpy,A,1817.0
MXSAAVI01BK001,2.8143564356435644,3.7,0.3146877748460861,Lumpy,A,3278.0
MXEBAVI03CO001,1.960644007155635,2.5585106382978724,0.3049338018325827,Lumpy,A,1957.0
MWRAAPA03CO001,3.688053097345133,4.806451612903226,0.303249027613832,Lumpy,A,1744.0
MWRBAWO05BK001,3.1037549407114624,4.036764705882353,0.30060677566155425,Lumpy,A,4035.0
MWPAATN04I8001,22.75661914460285,29.485294117647058,0.29567990439564196,Erratic,A,23140.0
