sku_cd,demand_class,abc_class,total_qty,latest_stock_qty,avg_aging,stockout_rate,stock_snapshots,weekly_velocity,coverage_weeks,stock_risk
MPFBSMM02CO001,Erratic,A,10136.0,402.0,312.258064516129,0.0,26.0,19.083333333333332,21.065502183406114,low
MWPESAC03I9001,Lumpy,A,2464.0,1781.0,113.3,0.0,26.0,18.916666666666668,94.14977973568281,low
MWPESAC03CO001,Lumpy,A,2523.0,1860.0,47.86206896551724,0.0,26.0,18.833333333333332,98.76106194690266,low
MMKEAVE12BK001,Erratic,A,1710.0,1125.0,112.65625,0.0,26.0,18.833333333333332,59.73451327433629,low
MEFDAMM11CO001,Lumpy,A,908.0,217.0,23.0625,0.0,26.0,18.666666666666668,11.625,low
MWPGSLR04CO001,Erratic,A,701.0,3027.0,30.454545454545453,0.0,22.0,18.0,168.16666666666666,low
MWTGSTA05EG001,Lumpy,A,362.0,27.0,231.0,0.0,22.0,17.583333333333332,1.5355450236966826,high
MWPEALR05CO001,Erratic,A,2534.0,382.0,209.0,0.0,26.0,17.583333333333332,21.725118483412324,low
MWBGSEA024B001,Erratic,A,239.0,701.0,42.825581395348834,0.0,17.0,17.5,40.05714285714286,low
MWDGSDU03CO001,Smooth,A,624.0,410.0,62.421875,0.0,21.0,17.416666666666668,23.540669856459328,low
MYSFSTA02CO001,Smooth,A,1400.0,275.0,51.24657534246575,0.0,26.0,17.333333333333332,15.865384615384617,low
MEEFSMM04CO001,Lumpy,A,1234.0,217.0,53.45,0.0,26.0,16.416666666666668,13.218274111675125,low
MMKEAVE14BK001,Erratic,A,1406.0,425.0,112.93,0.0,26.0,16.333333333333332,26.02040816326531,low
MWPFSLR07PZ001,Erratic,A,4407.0,911.0,168.3111111111111,0.0,26.0,16.166666666666668,56.350515463917525,low
MXBAAVI08BK001,Erratic,A,4392.0,551.0,63.857142857142854,0.0,26.0,16.166666666666668,34.08247422680412,low
MMKEAVE15IG001,Erratic,A,2457.0,1022.0,114.26373626373626,0.0,26.0,16.166666666666668,63.21649484536082,low
MXBAAVI03BK001,Lumpy,A,2656.0,234.0,282.7457627118644,0.0,26.0,16.083333333333332,14.549222797927463,low
MXBFSCJ06XC001,Lumpy,A,907.0,316.0,239.0,0.0,26.0,16.083333333333332,19.647668393782386,low
MESCAMM11CO038,Lumpy,A,1523.0,127.0,168.7674418604651,0.0,26.0,15.75,8.063492063492063,low
MWRAAVI01CO001,Smooth,A,1866.0,501.0,215.32608695652175,0.0,26.0,15.666666666666666,31.97872340425532,low
MYZGSTA094B001,Erratic,A,242.0,351.0,90.375,0.0,17.0,15.583333333333334,22.524064171122994,low
MXZFATT051F001,Lumpy,A,465.0,96.0,362.48275862068965,0.0,26.0,15.5,6.193548387096774,medium
MWKFATA02CO001,Erratic,A,1234.0,1713.0,74.4090909090909,0.0,26.0,15.25,112.32786885245902,low
MMKEAVE12CO001,Erratic,A,1201.0,1775.0,98.07070707070707,0.0,26.0,15.166666666666666,117.03296703296704,low
MPFESMM04PK001,Erratic,A,3906.0,318.0,170.87878787878788,0.0,26.0,15.166666666666666,20.967032967032967,low
MWPGSTA03LU001,Lumpy,A,510.0,13.0,189.5,0.0,23.0,15.083333333333334,0.861878453038674,high
MMKGSVE11LU001,Lumpy,A,267.0,244.0,197.2,0.0,22.0,15.083333333333334,16.176795580110497,low
MWPEATA021F001,Lumpy,A,423.0,74.0,251.10526315789474,0.0,26.0,15.0,4.933333333333334,medium
MWPGSLR05CO001,Lumpy,A,419.0,1503.0,38.371428571428574,0.0,22.0,14.416666666666666,104.25433526011561,low
MWPFSLR03PZ001,Erratic,A,3372.0,906.0,158.45454545454547,0.0,26.0,14.333333333333334,63.20930232558139,low
MESGSMM04PZ039,Smooth,B,193.0,46.0,86.25,0.0,17.0,14.333333333333334,3.2093023255813953,high
MXZGSTT08CO001,Intermittent,A,382.0,420.0,158.93023255813952,0.0,23.0,14.25,29.473684210526315,low
MMZAAFI01CO001,Erratic,A,5595.0,251.0,90.34666666666666,0.0,26.0,14.166666666666666,17.71764705882353,low
MWREATA01CO001,Smooth,A,2326.0,564.0,197.38,0.0,26.0,14.166666666666666,39.811764705882354,low
MWRGATA05CO001,Smooth,B,161.0,469.0,55.81395348837209,0.0,11.0,14.083333333333334,33.30177514792899,low
MMKEAVE15BK001,Intermittent,A,1088.0,714.0,76.72826086956522,0.0,26.0,14.0,51.0,low
MWBESEA01PZ001,Erratic,A,1569.0,1607.0,102.71764705882353,0.0,26.0,13.833333333333334,116.16867469879517,low
MWPFSLR031F001,Smooth,A,732.0,610.0,216.85294117647058,0.0,25.0,13.666666666666666,44.63414634146341,low
MESGSMM05CO037,Lumpy,A,238.0,181.0,81.41666666666667,0.0,22.0,13.333333333333334,13.575,low
MYSGATA024B001,Lumpy,B,166.0,138.0,76.48148148148148,0.0,16.0,13.333333333333334,10.35,low
MPFFSMM07CO001,Erratic,A,1578.0,694.0,239.79545454545453,0.0,26.0,13.333333333333334,52.05,low
MYZGSTA09CO001,Lumpy,A,326.0,742.0,14.425,0.0,23.0,13.25,56.0,low
MMKEAVE16PZ001,Erratic,A,1782.0,1458.0,86.07766990291262,0.0,26.0,13.25,110.0377358490566,low
MMRFSTA05CO001,Smooth,A,1344.0,580.0,64.69072164948453,0.0,26.0,12.75,45.490196078431374,low
MWTFATA02CO001,Smooth,A,800.0,964.0,90.66071428571429,0.0,26.0,12.666666666666666,76.10526315789474,low
MMZGSFI04EG001,Lumpy,A,559.0,22.0,231.0,0.0,22.0,12.666666666666666,1.736842105263158,high
MPFGAMM02CO001,Smooth,B,146.0,463.0,33.30434782608695,0.0,11.0,12.333333333333334,37.54054054054054,low
MESCAMM114B039,Intermittent,B,164.0,160.0,95.4090909090909,0.0,16.0,12.333333333333334,12.972972972972972,low
MEFDAMM11PZ001,Intermittent,B,142.0,90.0,59.44736842105263,0.0,15.0,12.333333333333334,7.297297297297297,medium
MXZAAVI08CO001,Lumpy,A,3589.0,359.0,126.07894736842105,0.0,26.0,12.083333333333334,29.710344827586205,low
MWPEAMT06CO001,Lumpy,A,1026.0,390.0,175.63636363636363,0.0,26.0,12.0,32.5,low
MXKGSTA01LU001,Lumpy,A,247.0,94.0,150.28571428571428,0.0,21.0,12.0,7.833333333333333,medium
MPFFSMM12CO001,Erratic,A,1676.0,277.0,142.38095238095238,0.0,26.0,11.833333333333334,23.408450704225352,low
MYSFSTA02BK001,Intermittent,A,631.0,54.0,127.0,0.0,26.0,11.75,4.595744680851064,medium
MESGSMM04PZ040,Intermittent,B,156.0,43.0,77.73684210526316,0.0,17.0,11.75,3.6595744680851063,high
MWHESTA011F001,Lumpy,A,402.0,209.0,206.01234567901236,0.0,26.0,11.666666666666666,17.914285714285715,low
MWRFSXT01CO001,Smooth,A,1338.0,542.0,57.776595744680854,0.0,26.0,11.666666666666666,46.45714285714286,low
MXBCATA02BK001,Intermittent,A,1521.0,97.0,71.20930232558139,0.0,26.0,11.666666666666666,8.314285714285715,low
MYLFSTA01CO001,Intermittent,A,862.0,308.0,67.65753424657534,0.0,26.0,11.583333333333334,26.589928057553955,low
MXZAAVI09CO001,Erratic,A,5102.0,141.0,315.82978723404256,0.0,26.0,11.416666666666666,12.350364963503651,low
MWPGSLR02I8001,Smooth,B,130.0,448.0,51.13131313131313,0.0,12.0,11.25,39.82222222222222,low
MWKFATA02PZ001,Erratic,A,1182.0,2843.0,88.4423076923077,0.0,26.0,11.25,252.7111111111111,low
MPFGSMM07PK001,Intermittent,B,144.0,700.0,92.24324324324324,0.0,16.0,11.166666666666666,62.68656716417911,low
MMTAAKC02CO001,Erratic,A,11841.0,48.0,264.05555555555554,0.0,26.0,11.166666666666666,4.298507462686567,medium
MEXCAMM171F042,Lumpy,A,333.0,19.0,341.5625,0.0,26.0,11.083333333333334,1.7142857142857142,high
MPFESMM03PK001,Erratic,A,2629.0,343.0,547.3818181818182,0.0,26.0,11.0,31.181818181818183,low
MPFESMM02PK001,Erratic,A,5426.0,728.0,358.07575757575756,0.0,26.0,10.75,67.72093023255815,low
MMZAAFI01BK001,Erratic,A,5892.0,315.0,136.64935064935065,0.0,26.0,10.75,29.302325581395348,low
MXKGSTA01ED001,Lumpy,A,230.0,218.0,172.8,0.0,21.0,10.75,20.27906976744186,low
MYSESXT01CO001,Erratic,A,1675.0,117.0,183.09615384615384,0.0,26.0,10.666666666666666,10.96875,low
MMZAAFI04CO001,Erratic,A,5303.0,236.0,114.40298507462687,0.0,26.0,10.25,23.024390243902438,low
MYZGATA01CO001,Smooth,B,117.0,397.0,23.140350877192983,0.0,9.0,10.25,38.73170731707317,low
MXZGATA094B001,Intermittent,B,150.0,139.0,90.8395061728395,0.0,17.0,10.083333333333334,13.785123966942148,low
MEXCAMM17BK043,Lumpy,A,1210.0,172.0,105.93617021276596,0.0,26.0,10.083333333333334,17.05785123966942,low
MMKEAVE17PZ001,Erratic,A,745.0,628.0,63.44210526315789,0.0,26.0,10.083333333333334,62.280991735537185,low
MYLFSAC03CO001,Lumpy,A,585.0,616.0,293.2857142857143,0.0,26.0,9.916666666666666,62.117647058823536,low
MWHFATA02PZ001,Intermittent,A,437.0,323.0,124.42045454545455,0.0,26.0,9.916666666666666,32.57142857142858,low
MEXCAMM17CO043,Lumpy,A,1107.0,181.0,172.29545454545453,0.0,26.0,9.833333333333334,18.406779661016948,low
MMZAAFI04BK001,Lumpy,A,3003.0,265.0,80.45588235294117,0.0,26.0,9.833333333333334,26.94915254237288,low
MWPESAC03P6001,Lumpy,A,1417.0,256.0,185.8,0.0,26.0,9.75,26.256410256410255,low
MWBESEA01BK001,Lumpy,A,1426.0,797.0,80.16901408450704,0.0,26.0,9.666666666666666,82.44827586206897,low
MWPFAMT08K8001,Erratic,A,890.0,884.0,59.14035087719298,0.0,26.0,9.666666666666666,91.44827586206897,low
MESCAMM11CO041,Lumpy,A,1070.0,204.0,55.28,0.0,26.0,9.583333333333334,21.28695652173913,low
MWTCABO07CO001,Lumpy,A,3266.0,748.0,92.3913043478261,0.0,26.0,9.416666666666666,79.43362831858407,low
MXCAAVI02BK001,Erratic,A,3663.0,264.0,87.74242424242425,0.0,26.0,9.333333333333334,28.285714285714285,low
MEXCAMM17CO042,Lumpy,A,1118.0,139.0,210.0392156862745,0.0,26.0,9.333333333333334,14.892857142857142,low
MWSGATA01BK001,Intermittent,B,108.0,428.0,89.45454545454545,0.0,16.0,9.333333333333334,45.857142857142854,low
MMRDSTA01BK001,Intermittent,A,1519.0,57.0,166.72413793103448,0.0,26.0,9.333333333333334,6.107142857142857,medium
MWPCSVI02CO001,Erratic,A,3816.0,186.0,292.1142857142857,0.0,26.0,9.333333333333334,19.928571428571427,low
MESCAMM114B038,Lumpy,B,123.0,77.0,92.66666666666667,0.0,16.0,9.25,8.324324324324325,low
MXBFACJ011F001,Intermittent,A,630.0,29.0,254.55,0.0,26.0,9.25,3.135135135135135,high
MXAGSTA01CO001,Lumpy,A,222.0,36.0,126.25925925925925,0.0,21.0,9.166666666666666,3.9272727272727277,high
MESCAMM111F040,Lumpy,A,398.0,13.0,250.44444444444446,0.0,26.0,9.166666666666666,1.4181818181818182,high
MEFAAMM08CO001,Intermittent,A,652.0,70.0,397.23333333333335,0.0,26.0,9.166666666666666,7.636363636363637,medium
MWPFATA05BK001,Lumpy,A,730.0,191.0,280.7142857142857,0.0,25.0,9.083333333333334,21.027522935779814,low
MXADATA08BK001,Intermittent,A,1220.0,409.0,64.8169014084507,0.0,26.0,9.0,45.44444444444444,low
MESCAMM114B040,Intermittent,B,133.0,169.0,95.0,0.0,16.0,9.0,18.77777777777778,low
MWKFATA01CO001,Erratic,A,710.0,1037.0,69.35964912280701,0.0,26.0,8.916666666666666,116.29906542056075,low
MWPGSMT02WT001,Smooth,B,103.0,551.0,80.38372093023256,0.0,15.0,8.916666666666666,61.79439252336449,low
MXZFAAK02CO001,Intermittent,A,297.0,39.0,327.48275862068965,0.0,26.0,8.833333333333334,4.415094339622641,medium
MYZFSTA01BK001,Smooth,A,1058.0,264.0,101.57333333333334,0.0,26.0,8.833333333333334,29.886792452830186,low
MESCAMM11BK039,Lumpy,A,1059.0,145.0,171.60526315789474,0.0,26.0,8.75,16.571428571428573,low
MYZAAVI02K8001,Intermittent,A,384.0,92.0,173.05769230769232,0.0,26.0,8.75,10.514285714285714,low
MXADATA08CO001,Intermittent,A,1244.0,288.0,64.91666666666667,0.0,26.0,8.666666666666666,33.23076923076923,low
MXZGAAK024B001,Lumpy,B,107.0,109.0,44.88,0.0,16.0,8.666666666666666,12.576923076923078,low
MMKGSVE034B001,Intermittent,B,105.0,626.0,90.48039215686275,0.0,17.0,8.583333333333334,72.93203883495146,low
MEXCAMM171F044,Lumpy,A,273.0,11.0,264.25,0.0,26.0,8.583333333333334,1.2815533980582523,high
MPFEAMM06BK001,Intermittent,A,649.0,308.0,553.9090909090909,0.0,26.0,8.5,36.23529411764706,low
MESCAMM111F039,Lumpy,A,409.0,16.0,283.6666666666667,0.0,26.0,8.5,1.8823529411764706,high
MESGSMM04PZ038,Intermittent,B,136.0,29.0,103.1,0.0,17.0,8.5,3.411764705882353,high
MWKGATA02QH001,Intermittent,B,96.0,742.0,22.318181818181817,0.0,11.0,8.416666666666666,88.15841584158416,low
MXKCSVI01CO001,Lumpy,A,2803.0,60.0,244.67741935483872,0.0,26.0,8.416666666666666,7.128712871287129,medium
MMRAAKC02CO001,Erratic,A,7680.0,155.0,152.0483870967742,0.0,26.0,8.333333333333334,18.599999999999998,low
MEXCAMM171F043,Lumpy,A,261.0,16.0,368.6,0.0,26.0,8.333333333333334,1.92,high
MWTGSTA03PZ001,Intermittent,A,292.0,447.0,108.77906976744185,0.0,20.0,8.333333333333334,53.63999999999999,low
MXCAAVI02CO001,Smooth,A,3094.0,234.0,120.73134328358209,0.0,26.0,8.25,28.363636363636363,low
MWRESAC02I9001,Lumpy,A,651.0,545.0,170.6315789473684,0.0,26.0,8.25,66.06060606060606,low
MYAFATA01BK001,Intermittent,A,227.0,84.0,225.5625,0.0,26.0,8.25,10.181818181818182,low
MYSESXT01PZ001,Intermittent,A,601.0,122.0,178.9344262295082,0.0,26.0,8.166666666666666,14.938775510204083,low
MESCAMM114B041,Intermittent,B,124.0,30.0,95.0,0.0,16.0,8.166666666666666,3.673469387755102,high
MEXCAMM17BK042,Lumpy,A,1074.0,177.0,143.53333333333333,0.0,26.0,8.166666666666666,21.673469387755105,low
MYSFSTA02PZ001,Intermittent,A,442.0,242.0,56.333333333333336,0.0,26.0,8.083333333333334,29.938144329896904,low
MMKEAVE15WT001,Intermittent,A,552.0,255.0,145.6056338028169,0.0,26.0,8.083333333333334,31.546391752577318,low
MMVFATT031F001,Lumpy,B,170.0,25.0,82.54545454545455,0.0,26.0,8.083333333333334,3.092783505154639,high
MXSFATA011F001,Intermittent,A,332.0,18.0,230.64285714285714,0.0,26.0,8.0,2.25,high
MWREAXT06CO001,Lumpy,A,488.0,244.0,42.375,0.0,26.0,7.916666666666667,30.821052631578947,low
MEXCAMM17BK044,Intermittent,A,1067.0,211.0,134.275,0.0,26.0,7.833333333333333,26.93617021276596,low
MEZCAMM17CO0ML,Lumpy,A,2827.0,263.0,163.3469387755102,0.0,26.0,7.75,33.935483870967744,low
MYAESXT02CO001,Intermittent,A,718.0,139.0,233.725,0.0,26.0,7.666666666666667,18.130434782608695,low
MWPESAC04CO001,Lumpy,B,197.0,139.0,784.6896551724138,0.0,26.0,7.666666666666667,18.130434782608695,low
MYZGSTA07QA001,Intermittent,B,177.0,222.0,138.75714285714287,0.0,20.0,7.583333333333333,29.274725274725277,low
MYZGATA05CO001,Lumpy,B,87.0,165.0,48.714285714285715,0.0,9.0,7.583333333333333,21.75824175824176,low
MWSESTA03BK001,Lumpy,A,950.0,89.0,338.2,0.0,26.0,7.5,11.866666666666667,low
MPFBSMM03CO001,Erratic,A,12662.0,587.0,217.3972602739726,0.0,26.0,7.5,78.26666666666667,low
MWBGSEA04CO001,Intermittent,B,152.0,52.0,142.6153846153846,0.0,21.0,7.5,6.933333333333334,medium
MPFFAMM03PK001,Erratic,A,1876.0,139.0,199.84444444444443,0.0,23.0,7.416666666666667,18.741573033707866,low
MWBFAEA03PZ001,Intermittent,A,489.0,698.0,131.28571428571428,0.0,26.0,7.333333333333333,95.18181818181819,low
MYSGSTA01CO001,Intermittent,A,267.0,236.0,103.33846153846154,0.0,20.0,7.333333333333333,32.18181818181818,low
MWPFSLR071F001,Intermittent,A,446.0,763.0,188.98181818181817,0.0,25.0,7.333333333333333,104.04545454545455,low
MESCAMM11CO037,Lumpy,A,861.0,125.0,156.68085106382978,0.0,26.0,7.25,17.24137931034483,low
MYLFATA03BK001,Lumpy,A,221.0,124.0,272.8222222222222,0.0,26.0,7.25,17.103448275862068,low
MMKGSVE08CO001,Intermittent,B,174.0,51.0,138.85714285714286,0.0,21.0,7.25,7.0344827586206895,medium
MPFFSMM05CO001,Erratic,A,986.0,600.0,201.56179775280899,0.0,26.0,7.166666666666667,83.72093023255813,low
MWHESTA01BK001,Lumpy,A,1490.0,335.0,99.13953488372093,0.0,26.0,7.166666666666667,46.74418604651163,low
MESCAMM11BK040,Lumpy,A,967.0,134.0,228.59459459459458,0.0,26.0,7.083333333333333,18.91764705882353,low
MXSFATA02CO001,Intermittent,A,223.0,269.0,56.13333333333333,0.0,26.0,7.083333333333333,37.976470588235294,low
MMZGSFI03CO001,Intermittent,B,108.0,20.0,204.0,0.0,21.0,7.083333333333333,2.823529411764706,high
MMKGSVE11ED001,Lumpy,A,322.0,400.0,172.66666666666666,0.0,22.0,7.083333333333333,56.47058823529412,low
MMLFSTA06CO001,Intermittent,A,586.0,149.0,135.09259259259258,0.0,26.0,7.0,21.285714285714285,low
MWBFAEA03BK001,Intermittent,A,450.0,153.0,117.93442622950819,0.0,26.0,7.0,21.857142857142858,low
MPFFSMM03PK001,Erratic,A,2058.0,120.0,272.61538461538464,0.0,26.0,7.0,17.142857142857142,low
MEXCAMM17CO044,Lumpy,A,955.0,249.0,127.80555555555556,0.0,26.0,6.916666666666667,36.0,low
MWDGSDU02CO001,Intermittent,A,242.0,211.0,18.365079365079364,0.0,21.0,6.916666666666667,30.50602409638554,low
MXAFATA02K8001,Intermittent,A,496.0,209.0,155.0958904109589,0.0,26.0,6.916666666666667,30.216867469879517,low
MEXFSMM02CO039,Intermittent,A,334.0,22.0,330.26666666666665,0.0,26.0,6.833333333333333,3.2195121951219514,high
MXSFATA04BK001,Lumpy,A,521.0,388.0,72.43283582089552,0.0,26.0,6.833333333333333,56.78048780487805,low
MWSGATA01PZ001,Smooth,B,78.0,421.0,77.49019607843137,0.0,14.0,6.833333333333333,61.609756097560975,low
MWRGATA05BK001,Intermittent,B,79.0,612.0,47.833333333333336,0.0,11.0,6.75,90.66666666666667,low
MWPFSAC02IN001,Lumpy,A,616.0,70.0,339.2857142857143,0.0,26.0,6.75,10.37037037037037,low
MESCAMM11BK038,Intermittent,A,912.0,153.0,211.0612244897959,0.0,26.0,6.75,22.666666666666668,low
